X,Y,Z
-0.05,0.75,0.56
0.05,0.75,0.56
0.15,0.75,0.54
0.25,0.75,0.5
0.35,0.75,0.44
0.45,0.75,0.36
0.55,0.75,0.25999999999999995
0.65,0.75,0.13999999999999996
-0.45,0.85,0.5199999999999999
-0.35,0.85,0.6
-0.25,0.85,0.6599999999999999
-0.15,0.85,0.7
-0.05,0.85,0.72
0.05,0.85,0.72
0.15,0.85,0.7
0.25,0.85,0.6599999999999999
0.35,0.85,0.6
0.45,0.85,0.5199999999999999
-0.25,0.95,0.84
-0.15,0.95,0.88
-0.05,0.95,0.9
0.05,0.95,0.9
0.15,0.95,0.88
0.25,0.95,0.84
